Counter ID,Counter name,Counting site ID,Counting site name,Counting site installation date,Technical counter ID,Latitude,Longitude
100056330-103056330,36 quai de Grenelle SO-NE,100056330.0,36 quai de Grenelle,2019-11-14,Y2H19070376,48.85174,2.28593
100056331-104056331,Face au 40 quai D'Issy NE-SO,100056331.0,Face au 40 quai D'Issy,2019-11-05,Y2H19070377,48.83428,2.26526
100056331-103056331,Face au 40 quai D'Issy SO-NE,100056331.0,Face au 40 quai D'Issy,2019-11-05,Y2H19070377,48.83428,2.26526
100056332-103056332,Pont de Bercy NE-SO,100056332.0,Pont de Bercy,2019-12-11,Y2H19070378,48.83848,2.37587
100056332-104056332,Pont de Bercy SO-NE,100056332.0,Pont de Bercy,2019-12-11,Y2H19070378,48.83848,2.37587
100056334-103056334,38 rue Turbigo NE-SO,100056334.0,38 rue Turbigo,2019-12-10,Y2H19070380,48.86502,2.35387
100056334-104056334,38 rue Turbigo SO-NE,100056334.0,38 rue Turbigo,2019-12-10,Y2H19070380,48.86502,2.35387
100056335-104056335,Quai d'Orsay E-O,100056335.0,Quai d'Orsay,2019-11-07,Y2H19070382,48.8629,2.3118
100056335-103056335,Quai d'Orsay O-E,100056335.0,Quai d'Orsay,2019-11-07,Y2H19070382,48.8629,2.3118
100056336-106056336,27 quai de la Tournelle NO-SE,100056336.0,27 quai de la Tournelle,2019-11-14,Y2H19070383,48.85013,2.35423
100056336-105056336,27 quai de la Tournelle SE-NO,100056336.0,27 quai de la Tournelle,2019-11-14,Y2H19070383,48.85013,2.35423
100057329-104057329,Totem 85 quai d'Austerlitz NO-SE,100057329.0,Totem 85 quai d'Austerlitz,2020-02-18,YTH19111508,48.84201,2.36729
100057329-103057329,Totem 85 quai d'Austerlitz SE-NO,100057329.0,Totem 85 quai d'Austerlitz,2020-02-18,YTH19111508,48.84201,2.36729
100057380-104057380,Totem Cours la Reine E-O,100057380.0,Totem Cours la Reine,2020-02-11,YTH19111509,48.86462,2.31444
100057380-103057380,Totem Cours la Reine O-E,100057380.0,Totem Cours la Reine,2020-02-11,YTH19111509,48.86462,2.31444
100057445-103057445,Totem 73 boulevard de Sébastopol N-S,100057445.0,Totem 73 boulevard de Sébastopol,2020-02-11,YTH19111510,48.86377,2.35096
100057445-104057445,Totem 73 boulevard de Sébastopol S-N,100057445.0,Totem 73 boulevard de Sébastopol,2020-02-11,YTH19111510,48.86377,2.35096
100060178-102060178,90 Rue De Sèvres NE-SO,100060178.0,90 Rue De Sèvres,2020-07-22,Y2H20052705,48.84641,2.31524
100060178-101060178,90 Rue De Sèvres SO-NE,100060178.0,90 Rue De Sèvres,2020-07-22,Y2H20052705,48.84641,2.31524
300014702-353245972,254 rue de Vaugirard NE-SO,300014702.0,254 rue de Vaugirard,2020-11-29,,48.83985,2.30202
300014702-353245971,254 rue de Vaugirard SO-NE,300014702.0,254 rue de Vaugirard,2020-11-29,,48.83985,2.30202
100056035-353266462,Quai des Tuileries NO-SE,100056035.0,Quai des Tuileries,2021-05-18,Y2H19070337,48.8635,2.32239
100056035-353266460,Quai des Tuileries SE-NO,100056035.0,Quai des Tuileries,2021-05-18,Y2H19070337,48.8635,2.32239
300021312-353293580,30 rue Saint Jacques N-S,300021312.0,30 rue Saint Jacques,2021-11-30,,48.851131,2.345678
300021320-353293614,69 Boulevard Ornano N-S,300021320.0,69 Boulevard Ornano,2021-11-30,,48.89683,2.34521
300030120-353354985,9 boulevard Jourdan O-E,300030120.0,9 boulevard Jourdan,2023-01-24,Y2H22115090,48.81964,2.34173
300030116-353354957,24 boulevard Jourdan E-O,300030116.0,24 boulevard Jourdan,2023-01-24,Y2H22115091,48.82029,2.33936
300030163-353355237,27 boulevard Davout N-S,300030163.0,27 boulevard Davout,2023-01-25,Y2H22115093,48.84935,2.41143
300030172-353355278,42 boulevard Soult N-S,300030172.0,42 boulevard Soult,2023-01-26,Y2H22115095,48.840211,2.409219
300030172-353355277,42 boulevard Soult S-N,300030172.0,42 boulevard Soult,2023-01-26,Y2H22115095,48.840211,2.409219
300030279-353356112,51 boulevard du Général Martial Valin SE-NO,300030279.0,51 boulevard du Général Martial Valin,2023-02-02,Y2H22115089,48.837006,2.274824
300030139-353355137,56 boulevard Kellermann E-O,300030139.0,56 boulevard Kellermann,2023-01-25,Y2H22115092,48.820988,2.350291
300030121-353354988,72 boulevard Brune NO-SE,300030121.0,72 boulevard Brune,2023-01-24,Y2H22115087,48.82561,2.314274
300030173-353355292,77 boulevard Masséna NE-SO,300030173.0,77 boulevard Masséna,2023-01-26,Y2H22115077,48.821204,2.368576
300030173-353355291,77 boulevard Masséna SO-NE,300030173.0,77 boulevard Masséna,2023-01-26,Y2H22115077,48.821204,2.368576
300030219-353355786,81 boulevard Mortier N-S,300030219.0,81 boulevard Mortier,2023-01-31,Y2H22115096,48.86922,2.408714
300030219-353355787,81 boulevard Mortier S-N,300030219.0,81 boulevard Mortier,2023-01-31,Y2H22115096,48.86922,2.408714
300030250-353355932,98 boulevard Poniatowski NE-SO,300030250.0,98 boulevard Poniatowski,2023-02-01,Y2H22115076,48.834624,2.405283
300030250-353355931,98 boulevard Poniatowski SO-NE,300030250.0,98 boulevard Poniatowski,2023-02-01,Y2H22115076,48.834624,2.405283
300030160-353355230,163 boulevard Brune SE-NO,300030160.0,163 boulevard Brune,2023-01-25,Y2H22115094,48.824237,2.321219
300030271-353356061,Face au 49 boulevard du Général Martial Valin NO-SE,300030271.0,Face au 49 boulevard du Général Martial Valin,2023-02-02,Y2H22115088,48.837055,2.274019
